city,courier_id,time_bucket,avg_transit_time_hours,delivery_count,is_bottom_10pct
Chongqing,2,Non-Peak,1.3627705627705629,77,False
Chongqing,2,Peak,3.420481927710843,83,False
Chongqing,3,Non-Peak,1.1333333333333333,7,False
Chongqing,3,Peak,3.6644245142002987,223,False
Chongqing,4,Non-Peak,2.1319444444444446,24,False
Chongqing,4,Peak,1.8833333333333335,3,False
Chongqing,5,Non-Peak,3.1347222222222224,108,False
Chongqing,5,Peak,4.022222222222222,54,False
Chongqing,6,Non-Peak,1.8566666666666667,5,False
Chongqing,6,Peak,1.3,10,False
Chongqing,7,Non-Peak,17.633333333333333,1,True
Chongqing,8,Non-Peak,145.91159420289856,23,True
Chongqing,8,Peak,2.6166666666666667,2,False
Chongqing,9,Non-Peak,2.186241134751773,470,False
Chongqing,9,Peak,3.2197201017811707,262,False
Chongqing,10,Non-Peak,2.779166666666667,4,False
Chongqing,10,Peak,5.470833333333333,8,False
Chongqing,16,Non-Peak,1.6217391304347828,276,False
Chongqing,16,Peak,2.9364372469635627,247,False
Chongqing,21,Non-Peak,2.162290299051787,457,False
Chongqing,21,Peak,4.3929188255613125,193,False
Chongqing,22,Non-Peak,1.2569444444444444,24,False
Chongqing,22,Peak,2.7160919540229886,29,False
Chongqing,24,Non-Peak,2.9045454545454548,11,False
Chongqing,24,Peak,2.3314814814814815,27,False
Chongqing,26,Non-Peak,10.003495172038622,2451,False
Chongqing,26,Peak,7.603566878980892,785,False
Chongqing,31,Non-Peak,5.615158647140865,1912,False
Chongqing,31,Peak,7.480564971751413,590,False
Chongqing,34,Non-Peak,4.0569444444444445,12,False
Chongqing,34,Peak,7.0249999999999995,8,False
Chongqing,47,Non-Peak,3.1581699346405228,102,False
Chongqing,47,Peak,4.174368686868687,132,False
Chongqing,48,Non-Peak,0.022222222222222223,3,False
Chongqing,50,Non-Peak,4.502923976608187,57,False
Chongqing,50,Peak,4.660416666666666,16,False
Chongqing,52,Non-Peak,1.075,4,False
Chongqing,59,Non-Peak,112.83333333333333,4,True
Chongqing,59,Peak,3.7,2,False
Chongqing,69,Peak,10.816666666666666,1,False
Chongqing,70,Non-Peak,2.7863510520487265,602,False
Chongqing,70,Peak,3.2661307609860666,311,False
Chongqing,72,Non-Peak,3.3967464315701092,794,False
Chongqing,72,Peak,3.3162512218963833,682,False
Chongqing,73,Non-Peak,4.268954248366013,153,False
Chongqing,73,Peak,3.563257575757576,1056,False
Chongqing,78,Non-Peak,3.4333333333333336,6,False
Chongqing,80,Non-Peak,1.0239047619047619,175,False
Chongqing,80,Peak,1.263095238095238,84,False
Chongqing,82,Non-Peak,8.973042505592842,149,False
Chongqing,82,Peak,4.5720833333333335,40,False
Chongqing,83,Non-Peak,4.660254913407278,1713,False
Chongqing,83,Peak,6.093824485373782,923,False
Chongqing,85,Non-Peak,42.255,10,True
Chongqing,88,Non-Peak,3.5757575757575752,11,False
Chongqing,88,Peak,5.5858974358974365,13,False
Chongqing,89,Non-Peak,5.975347006422209,1609,False
Chongqing,89,Peak,2.9996203492786635,439,False
Chongqing,90,Non-Peak,4.550905797101449,92,False
Chongqing,90,Peak,4.5386446886446885,91,False
Chongqing,93,Non-Peak,2.327744510978044,167,False
Chongqing,93,Peak,1.7888888888888888,33,False
Chongqing,94,Non-Peak,8.10618686868687,132,False
Chongqing,94,Peak,16.723015873015875,42,False
Chongqing,95,Non-Peak,38.5,5,True
Chongqing,95,Peak,9.426315789473685,19,False
Chongqing,101,Non-Peak,1.8041666666666667,8,False
Chongqing,101,Peak,0.815625,16,False
Chongqing,102,Non-Peak,2.445738095238095,1400,False
Chongqing,102,Peak,4.157516703786191,898,False
Chongqing,104,Non-Peak,2.5095238095238095,7,False
Chongqing,104,Peak,2.716666666666667,4,False
Chongqing,106,Non-Peak,2.5313432835820895,3015,False
Chongqing,106,Peak,3.2064307458143073,1314,False
Chongqing,108,Non-Peak,2.7462962962962965,27,False
Chongqing,108,Peak,2.05,4,False
Chongqing,110,Non-Peak,3.3453125,32,False
Chongqing,110,Peak,5.983888888888888,30,False
Chongqing,123,Non-Peak,8.6375,16,False
Chongqing,123,Peak,6.3875,4,False
Chongqing,126,Peak,0.016666666666666666,1,False
Chongqing,131,Non-Peak,5.4420329218107,2025,False
Chongqing,131,Peak,5.535261194029851,1072,False
Chongqing,136,Non-Peak,2.437037037037037,27,False
Chongqing,136,Peak,1.9625,8,False
Chongqing,137,Non-Peak,3.477314814814815,36,False
Chongqing,137,Peak,3.610144927536232,23,False
Chongqing,138,Non-Peak,5.42679802955665,2030,False
Chongqing,138,Peak,4.31595643939394,704,False
Chongqing,140,Non-Peak,14.183333333333334,1,False
Chongqing,144,Non-Peak,0.016666666666666666,1,False
Chongqing,145,Non-Peak,26.38068783068783,63,True
Chongqing,145,Peak,12.27912457912458,99,False
Chongqing,146,Non-Peak,1.4108796296296295,72,False
Chongqing,146,Peak,3.371648216482165,271,False
Chongqing,147,Non-Peak,2.395,10,False
Chongqing,147,Peak,4.061458333333333,16,False
Chongqing,156,Non-Peak,2.7904109589041095,146,False
Chongqing,156,Peak,1.8620689655172413,29,False
Chongqing,157,Non-Peak,2.559839357429719,83,False
Chongqing,157,Peak,6.05,6,False
Chongqing,158,Peak,95.48535353535352,33,True
Chongqing,159,Non-Peak,6.989308176100629,1749,False
Chongqing,159,Peak,5.661142948105699,1047,False
Chongqing,163,Non-Peak,11.704166666666666,8,False
Chongqing,163,Peak,5.434615384615385,13,False
Chongqing,171,Non-Peak,7.8929996468926555,1888,False
Chongqing,171,Peak,7.463966882649388,926,False
Chongqing,173,Non-Peak,3.0369257086999024,2046,False
Chongqing,173,Peak,3.876075268817204,434,False
Chongqing,183,Non-Peak,14.387878787878789,77,False
Chongqing,183,Peak,6.820795107033639,109,False
Chongqing,189,Non-Peak,1.997222222222222,6,False
Chongqing,189,Peak,4.04469696969697,22,False
Chongqing,195,Non-Peak,31.432804232804234,63,True
Chongqing,195,Peak,19.271159029649596,742,True
Chongqing,197,Non-Peak,2.776153846153846,130,False
Chongqing,197,Peak,2.3611872146118724,73,False
Chongqing,203,Non-Peak,1.7245495495495495,74,False
Chongqing,203,Peak,3.8375555555555554,150,False
Chongqing,209,Peak,8.925093632958802,89,False
Chongqing,219,Non-Peak,2.5328499820981025,1862,False
Chongqing,219,Peak,2.835200364298725,366,False
Chongqing,223,Non-Peak,3.0974747474747475,33,False
Chongqing,223,Peak,4.086060606060606,55,False
Chongqing,224,Non-Peak,2.408333333333333,2,False
Chongqing,224,Peak,3.6666666666666665,1,False
Chongqing,226,Non-Peak,2.386326860841424,618,False
Chongqing,226,Peak,3.5921212121212123,220,False
Chongqing,232,Non-Peak,2.013995215311005,418,False
Chongqing,232,Peak,2.9665169660678643,334,False
Chongqing,238,Non-Peak,9.041666666666668,2,False
Chongqing,238,Peak,7.6242372881355935,295,False
Chongqing,241,Non-Peak,1.3796296296296295,9,False
Chongqing,241,Peak,1.926388888888889,12,False
Chongqing,242,Peak,0.9916666666666667,2,False
Chongqing,243,Non-Peak,2.809027777777778,24,False
Chongqing,243,Peak,4.007462686567164,67,False
Chongqing,249,Non-Peak,4.18204252088079,439,False
Chongqing,249,Peak,3.9326086956521737,115,False
Chongqing,256,Non-Peak,2.1474465339233038,1808,False
Chongqing,256,Peak,3.145138888888889,1008,False
Chongqing,259,Non-Peak,1.9486345381526102,415,False
Chongqing,259,Peak,1.991209563994374,237,False
Chongqing,262,Non-Peak,13.751574074074075,180,False
Chongqing,262,Peak,12.731944444444444,240,False
Chongqing,264,Non-Peak,43.166666666666664,24,True
Chongqing,264,Peak,17.49426229508197,61,False
Chongqing,266,Non-Peak,2.52,5,False
